id,Title,Content,"Property Categories",_vc_post_settings,property_property_type,property_bedroom,property_bathroom,property_building_size,property_lot_size,property_parking,property_construction_status,property_price,property_price_hidden,property_price_type,property_slideshow_images,property_address,property_longitude,property_new_tag,property_hot_offer,property_featured,property_price_cut,property_open_house,property_foreclosure,property_floor_plan,property_attachment,property_agents,property_amenities,property_neighborhood
190,"Metro View Apartment",,,"a:1:{s:10:""vc_grid_id"";a:0:{}}",1|1,3|3,,1200|1200,,,,"1.25 Cr|1.25 Cr",,1|1,44|44,"2nd/3rd Floor, Sector 13 Dwarka, Delhi, India|2nd/3rd Floor, Sector 13 Dwarka, Delhi, India",77.0348573|77.0348573,on|on,,,,,,,"  |  ","a:2:{i:0;s:3:""167"";i:1;s:3:""165"";}|a:2:{i:0;s:3:""167"";i:1;s:3:""165"";}","a:11:{i:0;s:2:""on"";i:3;s:2:""on"";i:4;s:2:""on"";i:5;s:2:""on"";i:6;s:2:""on"";i:7;s:2:""on"";i:8;s:2:""on"";i:9;s:2:""on"";i:10;s:2:""on"";i:12;s:2:""on"";i:16;s:2:""on"";}|a:11:{i:0;s:2:""on"";i:3;s:2:""on"";i:4;s:2:""on"";i:5;s:2:""on"";i:6;s:2:""on"";i:7;s:2:""on"";i:8;s:2:""on"";i:9;s:2:""on"";i:10;s:2:""on"";i:12;s:2:""on"";i:16;s:2:""on"";}",
191,"Nayantara Apartments",,,"a:1:{s:10:""vc_grid_id"";a:0:{}}",1|1,3|3,,1470|1470,,,,"1.65 Cr|1.65 Cr",,1|1,"17 |17 ","4th /10th Floor, Sector 7 Dwarka, New Delhi, Delhi, India|4th /10th Floor, Sector 7 Dwarka, New Delhi, Delhi, India",77.07155639999996|77.07155639999996,on|on,,on|on,,,," ","   |   ",,"a:11:{i:0;s:2:""on"";i:1;s:2:""on"";i:3;s:2:""on"";i:4;s:2:""on"";i:6;s:2:""on"";i:7;s:2:""on"";i:9;s:2:""on"";i:10;s:2:""on"";i:12;s:2:""on"";i:13;s:2:""on"";i:15;s:2:""on"";}|a:11:{i:0;s:2:""on"";i:1;s:2:""on"";i:3;s:2:""on"";i:4;s:2:""on"";i:6;s:2:""on"";i:7;s:2:""on"";i:9;s:2:""on"";i:10;s:2:""on"";i:12;s:2:""on"";i:13;s:2:""on"";i:15;s:2:""on"";}",
192,"DDA Akshardham Apartment",,,"a:1:{s:10:""vc_grid_id"";a:0:{}}",1|1,2|2,,1200|1200,,,,"1 Cr|1 Cr",,1|1,54|54,"1st/3rd Floor, Sector 19, Dwarka, Delhi, India|1st/3rd Floor, Sector 19, Dwarka, Delhi, India",77.04864220000002|77.04864220000002,on|on,,,,,,,"  |  ",,"a:14:{i:0;s:2:""on"";i:1;s:2:""on"";i:2;s:2:""on"";i:3;s:2:""on"";i:4;s:2:""on"";i:6;s:2:""on"";i:7;s:2:""on"";i:9;s:2:""on"";i:10;s:2:""on"";i:11;s:2:""on"";i:12;s:2:""on"";i:14;s:2:""on"";i:15;s:2:""on"";i:17;s:2:""on"";}|a:14:{i:0;s:2:""on"";i:1;s:2:""on"";i:2;s:2:""on"";i:3;s:2:""on"";i:4;s:2:""on"";i:6;s:2:""on"";i:7;s:2:""on"";i:9;s:2:""on"";i:10;s:2:""on"";i:11;s:2:""on"";i:12;s:2:""on"";i:14;s:2:""on"";i:15;s:2:""on"";i:17;s:2:""on"";}",
193,"Golf View Apartment",,,"a:1:{s:10:""vc_grid_id"";a:0:{}}",1|1,4|4,,1400|1400,,,,"1.8 Cr|1.8 Cr",,1|1,"53 |53 ","7th/10th Floor, Sector 19, Dwarka, Delhi, India|7th/10th Floor, Sector 19, Dwarka, Delhi, India",-121.75524658203125|-121.75524658203125,,,,,,,"   |   ","   |   ",,"a:18:{i:0;s:2:""on"";i:1;s:2:""on"";i:2;s:2:""on"";i:3;s:2:""on"";i:4;s:2:""on"";i:5;s:2:""on"";i:6;s:2:""on"";i:7;s:2:""on"";i:8;s:2:""on"";i:9;s:2:""on"";i:10;s:2:""on"";i:11;s:2:""on"";i:12;s:2:""on"";i:13;s:2:""on"";i:14;s:2:""on"";i:15;s:2:""on"";i:16;s:2:""on"";i:17;s:2:""on"";}|a:18:{i:0;s:2:""on"";i:1;s:2:""on"";i:2;s:2:""on"";i:3;s:2:""on"";i:4;s:2:""on"";i:5;s:2:""on"";i:6;s:2:""on"";i:7;s:2:""on"";i:8;s:2:""on"";i:9;s:2:""on"";i:10;s:2:""on"";i:11;s:2:""on"";i:12;s:2:""on"";i:13;s:2:""on"";i:14;s:2:""on"";i:15;s:2:""on"";i:16;s:2:""on"";i:17;s:2:""on"";}",
194,"Seema Apartments",,,"a:1:{s:10:""vc_grid_id"";a:0:{}}",1|1,3|3,,1900|1900,,,,"2.25 Cr|2.25 Cr",,1|1,52|52,"3rd/10th Floor, Sector 11 Dwarka, Delhi, India|3rd/10th Floor, Sector 11 Dwarka, Delhi, India",77.0492504|77.0492504,,on|on,,,,,,"  |  ",,"a:15:{i:0;s:2:""on"";i:1;s:2:""on"";i:3;s:2:""on"";i:4;s:2:""on"";i:5;s:2:""on"";i:6;s:2:""on"";i:7;s:2:""on"";i:8;s:2:""on"";i:9;s:2:""on"";i:10;s:2:""on"";i:11;s:2:""on"";i:12;s:2:""on"";i:13;s:2:""on"";i:15;s:2:""on"";i:16;s:2:""on"";}|a:15:{i:0;s:2:""on"";i:1;s:2:""on"";i:3;s:2:""on"";i:4;s:2:""on"";i:5;s:2:""on"";i:6;s:2:""on"";i:7;s:2:""on"";i:8;s:2:""on"";i:9;s:2:""on"";i:10;s:2:""on"";i:11;s:2:""on"";i:12;s:2:""on"";i:13;s:2:""on"";i:15;s:2:""on"";i:16;s:2:""on"";}",
195,"Shubham Apartment",,,"a:1:{s:10:""vc_grid_id"";a:0:{}}",1|1,3|3,,1500|1500,,,,"1.15 Cr|1.15 Cr",,1|1,51|51,"5th Floor, Sector 22 Dwarka, New Delhi, Delhi, India|5th Floor, Sector 22 Dwarka, New Delhi, Delhi, India",77.05971750000003|77.05971750000003,on|on,,,on|on,,,,"   |   ",,"a:14:{i:1;s:2:""on"";i:3;s:2:""on"";i:5;s:2:""on"";i:6;s:2:""on"";i:7;s:2:""on"";i:8;s:2:""on"";i:9;s:2:""on"";i:10;s:2:""on"";i:11;s:2:""on"";i:12;s:2:""on"";i:13;s:2:""on"";i:15;s:2:""on"";i:16;s:2:""on"";i:17;s:2:""on"";}|a:14:{i:1;s:2:""on"";i:3;s:2:""on"";i:5;s:2:""on"";i:6;s:2:""on"";i:7;s:2:""on"";i:8;s:2:""on"";i:9;s:2:""on"";i:10;s:2:""on"";i:11;s:2:""on"";i:12;s:2:""on"";i:13;s:2:""on"";i:15;s:2:""on"";i:16;s:2:""on"";i:17;s:2:""on"";}",
196,"Rihayshi CGHS Apartment",,,"a:1:{s:10:""vc_grid_id"";a:0:{}}",1|1,2|2,,1200|1200,,,,"0.85 Cr|0.85 Cr",,1|1,51|51,"3rd Top Floor, Sector 12 Dwarka, Delhi, India|3rd Top Floor, Sector 12 Dwarka, Delhi, India",77.04349339999999|77.04349339999999,on|on,on|on,,,,,"  |  ","  |  ",,"a:15:{i:0;s:2:""on"";i:1;s:2:""on"";i:2;s:2:""on"";i:3;s:2:""on"";i:4;s:2:""on"";i:5;s:2:""on"";i:7;s:2:""on"";i:8;s:2:""on"";i:9;s:2:""on"";i:10;s:2:""on"";i:12;s:2:""on"";i:13;s:2:""on"";i:14;s:2:""on"";i:15;s:2:""on"";i:17;s:2:""on"";}|a:15:{i:0;s:2:""on"";i:1;s:2:""on"";i:2;s:2:""on"";i:3;s:2:""on"";i:4;s:2:""on"";i:5;s:2:""on"";i:7;s:2:""on"";i:8;s:2:""on"";i:9;s:2:""on"";i:10;s:2:""on"";i:12;s:2:""on"";i:13;s:2:""on"";i:14;s:2:""on"";i:15;s:2:""on"";i:17;s:2:""on"";}",
197,"Beverly Park",,,"a:1:{s:10:""vc_grid_id"";a:0:{}}",1|1,3|3,,1750|1750,,,,"1.95 Cr|1.95 Cr",,1|1,44|44,"5th Floor, Sector 22 Dwarka, New Delhi, Delhi, India|5th Floor, Sector 22 Dwarka, New Delhi, Delhi, India",77.05971750000003|77.05971750000003,,on|on,,,,,,"   |   ",,"a:17:{i:0;s:2:""on"";i:1;s:2:""on"";i:3;s:2:""on"";i:4;s:2:""on"";i:5;s:2:""on"";i:6;s:2:""on"";i:7;s:2:""on"";i:8;s:2:""on"";i:9;s:2:""on"";i:10;s:2:""on"";i:11;s:2:""on"";i:12;s:2:""on"";i:13;s:2:""on"";i:14;s:2:""on"";i:15;s:2:""on"";i:16;s:2:""on"";i:17;s:2:""on"";}|a:17:{i:0;s:2:""on"";i:1;s:2:""on"";i:3;s:2:""on"";i:4;s:2:""on"";i:5;s:2:""on"";i:6;s:2:""on"";i:7;s:2:""on"";i:8;s:2:""on"";i:9;s:2:""on"";i:10;s:2:""on"";i:11;s:2:""on"";i:12;s:2:""on"";i:13;s:2:""on"";i:14;s:2:""on"";i:15;s:2:""on"";i:16;s:2:""on"";i:17;s:2:""on"";}",
198,"DDA Flat",,,"a:1:{s:10:""vc_grid_id"";a:0:{}}",1|1,3|3,,1350|1350,,,,"1.35 Cr|1.35 Cr",,1|1,17|17,"3rd/4th Floor, Sector 22 Dwarka, New Delhi, Delhi, India|3rd/4th Floor, Sector 22 Dwarka, New Delhi, Delhi, India",77.05971750000003|77.05971750000003,on|on,,,,,,,"  |  ",,"a:16:{i:0;s:2:""on"";i:1;s:2:""on"";i:3;s:2:""on"";i:4;s:2:""on"";i:5;s:2:""on"";i:6;s:2:""on"";i:7;s:2:""on"";i:8;s:2:""on"";i:9;s:2:""on"";i:10;s:2:""on"";i:11;s:2:""on"";i:12;s:2:""on"";i:13;s:2:""on"";i:15;s:2:""on"";i:16;s:2:""on"";i:17;s:2:""on"";}|a:16:{i:0;s:2:""on"";i:1;s:2:""on"";i:3;s:2:""on"";i:4;s:2:""on"";i:5;s:2:""on"";i:6;s:2:""on"";i:7;s:2:""on"";i:8;s:2:""on"";i:9;s:2:""on"";i:10;s:2:""on"";i:11;s:2:""on"";i:12;s:2:""on"";i:13;s:2:""on"";i:15;s:2:""on"";i:16;s:2:""on"";i:17;s:2:""on"";}",
199,"Shiv Lok Apartment",,,"a:1:{s:10:""vc_grid_id"";a:0:{}}",1|1,2|2,,1250|1250,,,,"1 Cr|1 Cr",,1|1,54|54,"4th Floor, Sector 6 Dwarka, New Delhi, Delhi, India|4th Floor, Sector 6 Dwarka, New Delhi, Delhi, India",77.0636419|77.0636419,,,,,,,"  |  ","  |  ",,"a:15:{i:0;s:2:""on"";i:2;s:2:""on"";i:3;s:2:""on"";i:4;s:2:""on"";i:5;s:2:""on"";i:6;s:2:""on"";i:7;s:2:""on"";i:9;s:2:""on"";i:10;s:2:""on"";i:12;s:2:""on"";i:13;s:2:""on"";i:14;s:2:""on"";i:15;s:2:""on"";i:16;s:2:""on"";i:17;s:2:""on"";}|a:15:{i:0;s:2:""on"";i:2;s:2:""on"";i:3;s:2:""on"";i:4;s:2:""on"";i:5;s:2:""on"";i:6;s:2:""on"";i:7;s:2:""on"";i:9;s:2:""on"";i:10;s:2:""on"";i:12;s:2:""on"";i:13;s:2:""on"";i:14;s:2:""on"";i:15;s:2:""on"";i:16;s:2:""on"";i:17;s:2:""on"";}",
200,"NPSC Apartment",,,"a:1:{s:10:""vc_grid_id"";a:0:{}}",1|1,3|3,,1650|1650,,,,"1.8 Cr|1.8 Cr",,1|1,53|53,"5th/10th Floor, Sector 2 Dwarka, New Delhi, Delhi, India|5th/10th Floor, Sector 2 Dwarka, New Delhi, Delhi, India",77.06939799999998|77.06939799999998,,on|on,on|on,,,,,"  |  ",,"a:18:{i:0;s:2:""on"";i:1;s:2:""on"";i:2;s:2:""on"";i:3;s:2:""on"";i:4;s:2:""on"";i:5;s:2:""on"";i:6;s:2:""on"";i:7;s:2:""on"";i:8;s:2:""on"";i:9;s:2:""on"";i:10;s:2:""on"";i:11;s:2:""on"";i:12;s:2:""on"";i:13;s:2:""on"";i:14;s:2:""on"";i:15;s:2:""on"";i:16;s:2:""on"";i:17;s:2:""on"";}|a:18:{i:0;s:2:""on"";i:1;s:2:""on"";i:2;s:2:""on"";i:3;s:2:""on"";i:4;s:2:""on"";i:5;s:2:""on"";i:6;s:2:""on"";i:7;s:2:""on"";i:8;s:2:""on"";i:9;s:2:""on"";i:10;s:2:""on"";i:11;s:2:""on"";i:12;s:2:""on"";i:13;s:2:""on"";i:14;s:2:""on"";i:15;s:2:""on"";i:16;s:2:""on"";i:17;s:2:""on"";}",
201,"Orchard Valley Apartments",,,"a:1:{s:10:""vc_grid_id"";a:0:{}}",1|1,4|4,,2400|2400,,,,"1.85 Cr|1.85 Cr",,1|1,52|52,"4th/10th Floor, Sector 19, Dwarka, Delhi, India|4th/10th Floor, Sector 19, Dwarka, Delhi, India",77.04864220000002,on,,,on,,,,"  ",,"a:18:{i:0;s:2:""on"";i:1;s:2:""on"";i:2;s:2:""on"";i:3;s:2:""on"";i:4;s:2:""on"";i:5;s:2:""on"";i:6;s:2:""on"";i:7;s:2:""on"";i:8;s:2:""on"";i:9;s:2:""on"";i:10;s:2:""on"";i:11;s:2:""on"";i:12;s:2:""on"";i:13;s:2:""on"";i:14;s:2:""on"";i:15;s:2:""on"";i:16;s:2:""on"";i:17;s:2:""on"";}",
202,"Himachal Predesh Apartment",,,"a:1:{s:10:""vc_grid_id"";a:0:{}}",1,3,,1550,,,,"1.4 Cr",,1,49,"1st/7th Floor, Sector 5 Dwarka, Delhi, India",77.0578855,on,,,,on,,"   ","   ",,"a:17:{i:0;s:2:""on"";i:1;s:2:""on"";i:2;s:2:""on"";i:3;s:2:""on"";i:4;s:2:""on"";i:5;s:2:""on"";i:6;s:2:""on"";i:7;s:2:""on"";i:8;s:2:""on"";i:10;s:2:""on"";i:11;s:2:""on"";i:12;s:2:""on"";i:13;s:2:""on"";i:14;s:2:""on"";i:15;s:2:""on"";i:16;s:2:""on"";i:17;s:2:""on"";}",
203,"Sargodha Apartment",,,"a:1:{s:10:""vc_grid_id"";a:0:{}}",1,2,,1150,,,,"0.97 Cr",,1,54,"Gf/4th Floor, Sector 7 Dwarka, New Delhi, Delhi, India",77.07155639999996,on,on,,,,,,"  ",,,
204,"Gauri ganesh Apartment",,,"a:1:{s:10:""vc_grid_id"";a:0:{}}",1,3,,1700,,,,"1.35 Cr",,1,17,"9th/10th Floor, Sector 3 Dwarka, Delhi, India",77.04061469999999,,,,,,,"  ","  ",,"a:18:{i:0;s:2:""on"";i:1;s:2:""on"";i:2;s:2:""on"";i:3;s:2:""on"";i:4;s:2:""on"";i:5;s:2:""on"";i:6;s:2:""on"";i:7;s:2:""on"";i:8;s:2:""on"";i:9;s:2:""on"";i:10;s:2:""on"";i:11;s:2:""on"";i:12;s:2:""on"";i:13;s:2:""on"";i:14;s:2:""on"";i:15;s:2:""on"";i:16;s:2:""on"";i:17;s:2:""on"";}",
205,"Navjeevan Apt.  block A",,,"a:1:{s:10:""vc_grid_id"";a:0:{}}",1,2,,1000,,,,"0.9 Cr",,1,54,"2nd/3rd Floor, Sector 1 Dwarka, New Delhi, Delhi, India",77.07443430000001,on,on,,,,,,"  ",,"a:18:{i:0;s:2:""on"";i:1;s:2:""on"";i:2;s:2:""on"";i:3;s:2:""on"";i:4;s:2:""on"";i:5;s:2:""on"";i:6;s:2:""on"";i:7;s:2:""on"";i:8;s:2:""on"";i:9;s:2:""on"";i:10;s:2:""on"";i:11;s:2:""on"";i:12;s:2:""on"";i:13;s:2:""on"";i:14;s:2:""on"";i:15;s:2:""on"";i:16;s:2:""on"";i:17;s:2:""on"";}",
206,"Gandhi Ashram Apartment",,,"a:1:{s:10:""vc_grid_id"";a:0:{}}",1,3,,1850,,,,"1.85 Cr",,1,53,"Sector 10 Dwarka, Delhi, India",77.05828440000005,on,,on,,,,"    ","    ",,"a:14:{i:0;s:2:""on"";i:1;s:2:""on"";i:3;s:2:""on"";i:4;s:2:""on"";i:5;s:2:""on"";i:6;s:2:""on"";i:7;s:2:""on"";i:8;s:2:""on"";i:9;s:2:""on"";i:10;s:2:""on"";i:11;s:2:""on"";i:12;s:2:""on"";i:14;s:2:""on"";i:17;s:2:""on"";}",
207,"Metro View Apartment",,,"a:1:{s:10:""vc_grid_id"";a:0:{}}",1,3,,1200,,,,"1.5 Cr",,1,"53 ","Sector 13 Dwarka, Delhi, India",77.0348573,on,,,,,on,45,"   ",,"a:16:{i:0;s:2:""on"";i:2;s:2:""on"";i:3;s:2:""on"";i:4;s:2:""on"";i:5;s:2:""on"";i:6;s:2:""on"";i:7;s:2:""on"";i:8;s:2:""on"";i:10;s:2:""on"";i:11;s:2:""on"";i:12;s:2:""on"";i:13;s:2:""on"";i:14;s:2:""on"";i:15;s:2:""on"";i:16;s:2:""on"";i:17;s:2:""on"";}",
208,"DDA SFS Flat",,,"a:1:{s:10:""vc_grid_id"";a:0:{}}",1,2,,950,,,,"0.66 Cr",,1,51,"2nd/3rd Floor, Sector 10 Dwarka, Delhi, India",77.05828440000005,on,,on,on,,,16,,,"a:18:{i:0;s:2:""on"";i:1;s:2:""on"";i:2;s:2:""on"";i:3;s:2:""on"";i:4;s:2:""on"";i:5;s:2:""on"";i:6;s:2:""on"";i:7;s:2:""on"";i:8;s:2:""on"";i:9;s:2:""on"";i:10;s:2:""on"";i:11;s:2:""on"";i:12;s:2:""on"";i:13;s:2:""on"";i:14;s:2:""on"";i:15;s:2:""on"";i:16;s:2:""on"";i:17;s:2:""on"";}",
211,"Kumudi Apartments",,,"a:1:{s:10:""vc_grid_id"";a:0:{}}",1,3,,1200,,,,"1.2 Cr",,1,49,"4th/7th Floor, Sector 1, New Delhi, Delhi, India",77.21895940000002,,,,,,on,"  ","  ",,"a:12:{i:0;s:2:""on"";i:3;s:2:""on"";i:4;s:2:""on"";i:6;s:2:""on"";i:7;s:2:""on"";i:8;s:2:""on"";i:11;s:2:""on"";i:13;s:2:""on"";i:14;s:2:""on"";i:15;s:2:""on"";i:16;s:2:""on"";i:17;s:2:""on"";}",
212,"Golf View Apartment",,,"a:1:{s:10:""vc_grid_id"";a:0:{}}",1,4,,1300,,,,"1.8 Cr",,1,49,"7th/9th Floor, Sector 19, Dwarka, Delhi, India",77.04864220000002,on,on,,,,,15,,,"a:17:{i:0;s:2:""on"";i:1;s:2:""on"";i:2;s:2:""on"";i:3;s:2:""on"";i:4;s:2:""on"";i:5;s:2:""on"";i:6;s:2:""on"";i:7;s:2:""on"";i:8;s:2:""on"";i:9;s:2:""on"";i:10;s:2:""on"";i:11;s:2:""on"";i:12;s:2:""on"";i:13;s:2:""on"";i:14;s:2:""on"";i:16;s:2:""on"";i:17;s:2:""on"";}",
213,"DDA Flat Pocket-3",,,"a:1:{s:10:""vc_grid_id"";a:0:{}}",1,2,,1000,,0,,"0.92 Cr ",,1,44,"1st /4th Floor, Sector 11 Station, Dwarka, New Delhi, Delhi, India",77.04985499999998,on,,on,,,,48,"    ","a:2:{i:0;s:3:""166"";i:1;s:3:""164"";}","a:18:{i:0;s:2:""on"";i:1;s:2:""on"";i:2;s:2:""on"";i:3;s:2:""on"";i:4;s:2:""on"";i:5;s:2:""on"";i:6;s:2:""on"";i:7;s:2:""on"";i:8;s:2:""on"";i:9;s:2:""on"";i:10;s:2:""on"";i:11;s:2:""on"";i:12;s:2:""on"";i:13;s:2:""on"";i:14;s:2:""on"";i:15;s:2:""on"";i:16;s:2:""on"";i:17;s:2:""on"";}",
223,"Mother Apartment",,,"a:1:{s:10:""vc_grid_id"";a:0:{}}",1,3,,1700,,,,"1.25 Cr",,1,"44 ","2nd/8th Floor, Sector 3 Dwarka, Delhi, India",77.04061469999999,on,on,,,,,47,"   ",,"a:16:{i:0;s:2:""on"";i:1;s:2:""on"";i:2;s:2:""on"";i:3;s:2:""on"";i:5;s:2:""on"";i:6;s:2:""on"";i:7;s:2:""on"";i:8;s:2:""on"";i:9;s:2:""on"";i:10;s:2:""on"";i:11;s:2:""on"";i:12;s:2:""on"";i:13;s:2:""on"";i:14;s:2:""on"";i:15;s:2:""on"";i:17;s:2:""on"";}",
224,"Manisha Towers",,,"a:1:{s:10:""vc_grid_id"";a:0:{}}",1,4,,2300,,,,"2 Cr",,1,17,"6th/8th Floor, Sector 23, New Delhi, Delhi, India",77.05500719999998,on,,on,,,,46,"  ",,"a:15:{i:0;s:2:""on"";i:3;s:2:""on"";i:4;s:2:""on"";i:5;s:2:""on"";i:6;s:2:""on"";i:7;s:2:""on"";i:8;s:2:""on"";i:10;s:2:""on"";i:11;s:2:""on"";i:12;s:2:""on"";i:13;s:2:""on"";i:14;s:2:""on"";i:15;s:2:""on"";i:16;s:2:""on"";i:17;s:2:""on"";}",
225,"Manisha towers",,,"a:1:{s:10:""vc_grid_id"";a:0:{}}",1,3,,1700,,,,"1.6 Cr",,1,53,"5th/8th Floor, Sector 23 Dwarka, New Delhi, Delhi, India",77.05500719999998,on,,,on,,,54,"  ",,"a:18:{i:0;s:2:""on"";i:1;s:2:""on"";i:2;s:2:""on"";i:3;s:2:""on"";i:4;s:2:""on"";i:5;s:2:""on"";i:6;s:2:""on"";i:7;s:2:""on"";i:8;s:2:""on"";i:9;s:2:""on"";i:10;s:2:""on"";i:11;s:2:""on"";i:12;s:2:""on"";i:13;s:2:""on"";i:14;s:2:""on"";i:15;s:2:""on"";i:16;s:2:""on"";i:17;s:2:""on"";}",
226,"Sarvhit Apartment",,,"a:1:{s:10:""vc_grid_id"";a:0:{}}",1,2,,1000,,,,"0.72 Cr",,1,52,"2nd/4th Floor, Sector 17 Dwarka, Delhi, India",-81.49049227968749,on,,,on,,,53,"  ",,"a:18:{i:0;s:2:""on"";i:1;s:2:""on"";i:2;s:2:""on"";i:3;s:2:""on"";i:4;s:2:""on"";i:5;s:2:""on"";i:6;s:2:""on"";i:7;s:2:""on"";i:8;s:2:""on"";i:9;s:2:""on"";i:10;s:2:""on"";i:11;s:2:""on"";i:12;s:2:""on"";i:13;s:2:""on"";i:14;s:2:""on"";i:15;s:2:""on"";i:16;s:2:""on"";i:17;s:2:""on"";}",
227,"DDA Sfs Flat Pocket-2",,,"a:1:{s:10:""vc_grid_id"";a:0:{}}",1,2,,1050,,,,"0.77 Cr",,1,51,"2nd/3rd Floor, Sector 6, Dwarka, Delhi, India",77.06225700000005,,,,,on,,45,"  ",,"a:15:{i:0;s:2:""on"";i:1;s:2:""on"";i:2;s:2:""on"";i:3;s:2:""on"";i:5;s:2:""on"";i:6;s:2:""on"";i:9;s:2:""on"";i:10;s:2:""on"";i:11;s:2:""on"";i:12;s:2:""on"";i:13;s:2:""on"";i:14;s:2:""on"";i:15;s:2:""on"";i:16;s:2:""on"";i:17;s:2:""on"";}",
228,"Kamal Vihar Apartment",,,"a:1:{s:10:""vc_grid_id"";a:0:{}}",1,2,,1700,,,,"1.25 Cr",,1,"49 ","5th/7th Floor, Sector 7 Dwarka, New Delhi, Delhi, India",77.07155639999996,on,,on,,,,"16 ","    ",,"a:16:{i:0;s:2:""on"";i:1;s:2:""on"";i:2;s:2:""on"";i:3;s:2:""on"";i:4;s:2:""on"";i:5;s:2:""on"";i:6;s:2:""on"";i:7;s:2:""on"";i:8;s:2:""on"";i:9;s:2:""on"";i:10;s:2:""on"";i:11;s:2:""on"";i:12;s:2:""on"";i:13;s:2:""on"";i:14;s:2:""on"";i:15;s:2:""on"";}",
229,"DDA Flat Pkt-2",,,"a:1:{s:10:""vc_grid_id"";a:0:{}}",1,3,,1350,,,,"1.15 Cr",,1,"44 ",,77.0698195,,on,,,,,"15 ","   ",,"a:18:{i:0;s:2:""on"";i:1;s:2:""on"";i:2;s:2:""on"";i:3;s:2:""on"";i:4;s:2:""on"";i:5;s:2:""on"";i:6;s:2:""on"";i:7;s:2:""on"";i:8;s:2:""on"";i:9;s:2:""on"";i:10;s:2:""on"";i:11;s:2:""on"";i:12;s:2:""on"";i:13;s:2:""on"";i:14;s:2:""on"";i:15;s:2:""on"";i:16;s:2:""on"";i:17;s:2:""on"";}",
231,"Him Hit Sadbhavana Apartment","Home town developers offering you 1/ 2/ 3 bhk super luxury hi-Fi apartment for sale in the heart of noida ex. Booking open 1/2/3 bhk flats starting from 14.5 lac loan available 1 km from kissan chowk &amp; 1.5 km from nh-24 .
We deals in:-Ready to move flats in noida ,Ready to move builder flats in noida ,Ready to move flat in noida ex,Ready to move 2 bhk flats in noida extaintion, 1 bhk flats in noida ,Ready to shift flats in noida ,Ready to move flats in greater noida west,Ready to move property in shahberi, Ready to move 1 bhk in noida ext , Affordable 1/2/3 bhk flats in noida ext,Ready to shift 1/2/3 bhk flats in noida ext,Readt to shift 1/2/3 bhk builder flats near crossing republic

&nbsp;",,"a:1:{s:10:""vc_grid_id"";a:0:{}}",1,3,2,3200,,,,"1.42 Cr",,1,"17      ","Delhi, India",77.22739580000007,,,,,,,"          ","      ","a:1:{i:0;s:3:""583"";}","a:9:{i:0;s:2:""on"";i:1;s:2:""on"";i:2;s:2:""on"";i:3;s:2:""on"";i:4;s:2:""on"";i:5;s:2:""on"";i:6;s:2:""on"";i:7;s:2:""on"";i:9;s:2:""on"";}","a:1:{i:0;a:2:{s:5:""title"";s:0:"""";s:8:""distance"";s:0:"""";}}"
545,"Himalayan 4 BHK","unit available for sale . Awesome unit",,"a:1:{s:10:""vc_grid_id"";a:0:{}}",1,HImalayan,4,1900,2500,no,,"2.7 cr",,1,"     ","Sector 22 Dwarka, New Delhi, Delhi, India",77.05971750000003,on,,,,,,"     ","     ","a:1:{i:0;s:3:""583"";}","a:2:{i:0;s:2:""on"";i:9;s:2:""on"";}",
629,kbc,test2,,"a:1:{s:10:""vc_grid_id"";a:0:{}}",2,1,1,222,222,1,1,1111111,,1," ","Delhi, India",77.22739580000007,,,,,,," "," ",,,
630,vbn,33rere,,"a:1:{s:10:""vc_grid_id"";a:0:{}}",3,1,1,333,333,1,1,3333333,,1,,"British Columbia, Canada",-127.64762050000002,,,,,,,,,"a:1:{i:0;s:2:""14"";}",,
